density mean min max stdev
010 10.030526333333333 5.948 24.917 3.251508236482037
020 10.517642166666667 5.94 25.877 3.7028890828714607
030 11.367811444444444 5.94 35.572 4.35741453816211
040 12.2891355 5.94 35.02 4.993915240362557
050 13.6979498 5.941 43.544 5.896138434759037
060 15.068108500000001 5.94 47.931 6.754225749708999
070 16.55416561904762 5.941 52.806 7.586028596395207
080 18.206922374999998 5.94 60.305 8.44471942576781
090 19.964654120370373 5.94 66.444 9.450987915418407
100 22.41896583333333 5.94 80.734 10.923343857997084
110 27.965330353535354 5.94 132.968 14.928697231498699
120 56.561592222222224 5.952 239.085 38.103863355660664
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
