density TrafficLights_mean TrafficLights_min TrafficLights_max TrafficLights_stdev VirtualTrafficLights2_mean VirtualTrafficLights2_min VirtualTrafficLights2_max VirtualTrafficLights2_stdev MyTrafficController_mean MyTrafficController_min MyTrafficController_max MyTrafficController_stdev GreedyController_mean GreedyController_min GreedyController_max GreedyController_stdev
010 23.118755333333333 5.94 64.295 12.184086761600543 10.030526333333333 5.948 24.917 3.251508236482037 9.889891333333333 6.27 23.524 3.113539574463787 9.880497333333333 6.27 19.711 3.139866889751009
020 23.277427666666668 5.94 65.825 12.18173213136736 10.517642166666667 5.94 25.877 3.7028890828714607 10.150984666666668 6.27 24.316 3.3392079898430196 10.113832166666667 6.27 22.639 3.373074671491163
030 23.87844877777778 5.94 73.555 12.802592579383376 11.367811444444444 5.94 35.572 4.35741453816211 10.51020011111111 6.27 27.103 3.5795582271761726 10.42988911111111 6.27 27.103 3.605718802671002
040 24.1348375 5.94 75.441 12.645128797180565 12.2891355 5.94 35.02 4.993915240362557 10.93970225 6.27 27.468 3.8314856914098687 10.796130250000001 6.27 28.582 3.8835168574223324
050 24.518476 5.94 78.269 12.578260449010914 13.6979498 5.941 43.544 5.896138434759037 11.6973512 6.27 31.297 4.307595254669412 11.360243 6.27 31.452 4.286013223642832
060 25.324514 5.94 86.007 13.199096079786413 15.068108500000001 5.94 47.931 6.754225749708999 12.529130666666665 6.27 39.713 4.891418712657769 11.927892666666667 6.27 35.66 4.74464555729284
070 26.89462604761905 5.94 99.82 14.215487835943092 16.55416561904762 5.941 52.806 7.586028596395207 13.555353476190476 6.27 36.877 5.463495886624631 12.465011476190478 6.27 38.478 5.055700748774291
080 28.887523625 5.94 118.988 15.150999649163655 18.206922374999998 5.94 60.305 8.44471942576781 15.428631750000001 6.27 44.835 6.535059589479797 13.290373375 6.27 44.588 5.576897166387981
090 36.35773259259259 5.94 178.355 21.781207923315595 19.964654120370373 5.94 66.444 9.450987915418407 18.23185925925926 6.255 52.899 8.07955387177375 14.240536759259259 6.237 57.775 6.288588390455533
100 54.623305583333334 5.94 335.072 43.66647548489007 22.41896583333333 5.94 80.734 10.923343857997084 24.123111958333336 6.27 75.373 11.606756848313083 15.275454458333334 6.27 63.968 6.958552965821992
110 134.456077020202 5.941 823.884 123.73611070957122 27.965330353535354 5.94 132.968 14.928697231498699 40.44602702020202 6.27 113.746 18.273038140816357 16.60272368686869 6.27 55.961 7.737530261228448
120 254.12772930555556 5.942 669.647 168.1098493377097 56.561592222222224 5.952 239.085 38.103863355660664 114.31065722222222 6.271 243.809 55.20550262425791 18.563710138888887 6.27 73.189 9.516415347258896
130 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
140 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
150 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
