density TrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 64.295 24.917 23.524 19.711
020 65.825 25.877 24.316 22.639
030 73.555 35.572 27.103 27.103
040 75.441 35.02 27.468 28.582
050 78.269 43.544 31.297 31.452
060 86.007 47.931 39.713 35.66
070 99.82 52.806 36.877 38.478
080 118.988 60.305 44.835 44.588
090 178.355 66.444 52.899 57.775
100 335.072 80.734 75.373 63.968
110 823.884 132.968 113.746 55.961
120 669.647 239.085 243.809 73.189
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
