density mean min max stdev
010 9.880497333333333 6.27 19.711 3.139866889751009
020 10.113832166666667 6.27 22.639 3.373074671491163
030 10.42988911111111 6.27 27.103 3.605718802671002
040 10.796130250000001 6.27 28.582 3.8835168574223324
050 11.360243 6.27 31.452 4.286013223642832
060 11.927892666666667 6.27 35.66 4.74464555729284
070 12.465011476190478 6.27 38.478 5.055700748774291
080 13.290373375 6.27 44.588 5.576897166387981
090 14.240536759259259 6.237 57.775 6.288588390455533
100 15.275454458333334 6.27 63.968 6.958552965821992
110 16.60272368686869 6.27 55.961 7.737530261228448
120 18.563710138888887 6.27 73.189 9.516415347258896
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
