density mean min max stdev
010 9.934775833333333 6.27 23.524 3.145955419926777
020 10.111525916666668 6.27 24.316 3.3085625627071953
030 10.537759555555557 6.27 27.103 3.604308039275889
040 10.988295625000001 6.27 29.048 3.863255641584854
050 11.688832233333333 6.238 31.297 4.331941253055225
060 12.534506027777777 6.263 39.713 4.8851113513966755
070 13.565816547619049 6.27 39.64 5.529749074300027
080 15.428631750000001 6.27 44.835 6.535059589479797
090 18.23185925925926 6.255 52.899 8.07955387177375
100 24.123111958333336 6.27 75.373 11.606756848313083
110 42.25778909090909 6.27 113.746 19.09402613915686
120 NaN NaN NaN NaN
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
