density mean min max stdev
010 23.159635833333333 5.94 64.295 12.10829144621598
020 23.292528916666665 5.94 69.5 12.380243562643926
030 23.714852055555554 5.94 73.555 12.609489783918994
040 24.094278624999998 5.94 75.441 12.568927693073748
050 24.433983333333334 5.94 78.269 12.558808931106796
060 25.37604902777778 5.94 86.007 13.084947365234028
070 26.84464411904762 5.94 99.82 14.113109323476207
080 28.887523625 5.94 118.988 15.150999649163655
090 36.35773259259259 5.94 178.355 21.781207923315595
100 54.623305583333334 5.94 335.072 43.66647548489007
110 127.3608090909091 5.941 450.19 96.9858470072671
120 NaN NaN NaN NaN
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
