density mean min max stdev
010 10.080157333333332 5.948 24.917 3.2970588803947205
020 10.498527916666665 5.94 27.249 3.689638469130826
030 11.40936288888889 5.94 35.572 4.397367863151102
040 12.372867 5.94 40.853 5.047054099301167
050 13.676508033333333 5.94 46.303 5.911617332759716
060 15.051591111111112 5.94 47.931 6.7505388798194055
070 16.512664690476193 5.94 52.806 7.602736482094007
080 18.206922374999998 5.94 60.305 8.44471942576781
090 19.964654120370373 5.94 66.444 9.450987915418407
100 22.41896583333333 5.94 80.734 10.923343857997084
110 26.77816659090909 5.94 126.805 13.594902254867185
120 NaN NaN NaN NaN
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
