density mean min max stdev
010 10.155534833333332 6.175 24.917 3.3358074375874
020 10.703771416666667 6.189 32.788 3.7972575259072827
030 11.921869388888888 6.195 39.95 4.749442182304596
040 13.284669375 6.175 41.808 5.587295907395065
050 15.129069033333334 6.172 47.143 6.655473941910332
060 17.057156944444444 6.179 52.089 7.682031550623704
070 18.824834833333334 6.189 60.483 8.504789577337323
080 20.851561625 6.21 62.704 9.412569108321055
090 23.139206759259256 6.218 88.71 10.735728001333978
100 26.651974833333334 6.239 121.114 13.09320188240882
110 35.20901909090909 6.436 143.807 19.252799258326032
120 NaN NaN NaN NaN
130 NaN NaN NaN NaN
140 NaN NaN NaN NaN
150 NaN NaN NaN NaN
