density TrafficLights_mean TrafficLights_min TrafficLights_max TrafficLights_stdev VirtualTrafficLights_mean VirtualTrafficLights_min VirtualTrafficLights_max VirtualTrafficLights_stdev VirtualTrafficLights2_mean VirtualTrafficLights2_min VirtualTrafficLights2_max VirtualTrafficLights2_stdev MyTrafficController_mean MyTrafficController_min MyTrafficController_max MyTrafficController_stdev GreedyController_mean GreedyController_min GreedyController_max GreedyController_stdev
010 23.159635833333333 5.94 64.295 12.10829144621598 10.155534833333332 6.175 24.917 3.3358074375874 10.080157333333332 5.948 24.917 3.2970588803947205 9.934775833333333 6.27 23.524 3.145955419926777 9.923841833333334 6.27 20.668 3.170212971478529
020 23.292528916666665 5.94 69.5 12.380243562643926 10.703771416666667 6.189 32.788 3.7972575259072827 10.498527916666665 5.94 27.249 3.689638469130826 10.111525916666668 6.27 24.316 3.3085625627071953 10.071076166666666 6.27 23.917 3.3352052211002263
030 23.714852055555554 5.94 73.555 12.609489783918994 11.921869388888888 6.195 39.95 4.749442182304596 11.40936288888889 5.94 35.572 4.397367863151102 10.537759555555557 6.27 27.103 3.604308039275889 10.453107222222222 6.27 27.103 3.6409927004787064
040 24.094278624999998 5.94 75.441 12.568927693073748 13.284669375 6.175 41.808 5.587295907395065 12.372867 5.94 40.853 5.047054099301167 10.988295625000001 6.27 29.048 3.863255641584854 10.821245500000002 6.27 28.582 3.8814671052344103
050 24.433983333333334 5.94 78.269 12.558808931106796 15.129069033333334 6.172 47.143 6.655473941910332 13.676508033333333 5.94 46.303 5.911617332759716 11.688832233333333 6.238 31.297 4.331941253055225 11.358479133333335 6.238 33.926 4.286323310314867
060 25.37604902777778 5.94 86.007 13.084947365234028 17.057156944444444 6.179 52.089 7.682031550623704 15.051591111111112 5.94 47.931 6.7505388798194055 12.534506027777777 6.263 39.713 4.8851113513966755 11.929657277777778 6.263 35.66 4.736801649646455
070 26.84464411904762 5.94 99.82 14.113109323476207 18.824834833333334 6.189 60.483 8.504789577337323 16.512664690476193 5.94 52.806 7.602736482094007 13.565816547619049 6.27 39.64 5.529749074300027 12.465145547619048 6.27 39.339 5.080920437432382
080 28.887523625 5.94 118.988 15.150999649163655 20.851561625 6.21 62.704 9.412569108321055 18.206922374999998 5.94 60.305 8.44471942576781 15.428631750000001 6.27 44.835 6.535059589479797 13.290373375 6.27 44.588 5.576897166387981
090 36.35773259259259 5.94 178.355 21.781207923315595 23.139206759259256 6.218 88.71 10.735728001333978 19.964654120370373 5.94 66.444 9.450987915418407 18.23185925925926 6.255 52.899 8.07955387177375 14.240536759259259 6.237 57.775 6.288588390455533
100 54.623305583333334 5.94 335.072 43.66647548489007 26.651974833333334 6.239 121.114 13.09320188240882 22.41896583333333 5.94 80.734 10.923343857997084 24.123111958333336 6.27 75.373 11.606756848313083 15.275454458333334 6.27 63.968 6.958552965821992
110 127.3608090909091 5.941 450.19 96.9858470072671 35.20901909090909 6.436 143.807 19.252799258326032 26.77816659090909 5.94 126.805 13.594902254867185 42.25778909090909 6.27 113.746 19.09402613915686 16.64080909090909 6.27 55.961 7.769112108398766
120 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
130 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
140 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
150 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
