density TrafficLights VirtualTrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 64.295 24.917 24.917 23.524 20.668
020 69.5 32.788 27.249 24.316 23.917
030 73.555 39.95 35.572 27.103 27.103
040 75.441 41.808 40.853 29.048 28.582
050 78.269 47.143 46.303 31.297 33.926
060 86.007 52.089 47.931 39.713 35.66
070 99.82 60.483 52.806 39.64 39.339
080 118.988 62.704 60.305 44.835 44.588
090 178.355 88.71 66.444 52.899 57.775
100 335.072 121.114 80.734 75.373 63.968
110 450.19 143.807 126.805 113.746 55.961
120 NaN NaN NaN NaN NaN
130 NaN NaN NaN NaN NaN
140 NaN NaN NaN NaN NaN
150 NaN NaN NaN NaN NaN
