density TrafficLights VirtualTrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 23.159635833333333 10.155534833333332 10.080157333333332 9.934775833333333 9.923841833333334
020 23.292528916666665 10.703771416666667 10.498527916666665 10.111525916666668 10.071076166666666
030 23.714852055555554 11.921869388888888 11.40936288888889 10.537759555555557 10.453107222222222
040 24.094278624999998 13.284669375 12.372867 10.988295625000001 10.821245500000002
050 24.433983333333334 15.129069033333334 13.676508033333333 11.688832233333333 11.358479133333335
060 25.37604902777778 17.057156944444444 15.051591111111112 12.534506027777777 11.929657277777778
070 26.84464411904762 18.824834833333334 16.512664690476193 13.565816547619049 12.465145547619048
080 28.887523625 20.851561625 18.206922374999998 15.428631750000001 13.290373375
090 36.35773259259259 23.139206759259256 19.964654120370373 18.23185925925926 14.240536759259259
100 54.623305583333334 26.651974833333334 22.41896583333333 24.123111958333336 15.275454458333334
110 127.3608090909091 35.20901909090909 26.77816659090909 42.25778909090909 16.64080909090909
120 NaN NaN NaN NaN NaN
130 NaN NaN NaN NaN NaN
140 NaN NaN NaN NaN NaN
150 NaN NaN NaN NaN NaN
