density TrafficLights VirtualTrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 5.94 6.175 5.948 6.27 6.27
020 5.94 6.189 5.94 6.27 6.27
030 5.94 6.195 5.94 6.27 6.27
040 5.94 6.175 5.94 6.27 6.27
050 5.94 6.172 5.94 6.238 6.238
060 5.94 6.179 5.94 6.263 6.263
070 5.94 6.189 5.94 6.27 6.27
080 5.94 6.21 5.94 6.27 6.27
090 5.94 6.218 5.94 6.255 6.237
100 5.94 6.239 5.94 6.27 6.27
110 5.941 6.436 5.94 6.27 6.27
120 NaN NaN NaN NaN NaN
130 NaN NaN NaN NaN NaN
140 NaN NaN NaN NaN NaN
150 NaN NaN NaN NaN NaN
