density TrafficLights VirtualTrafficLights VirtualTrafficLights2 MyTrafficController GreedyController
010 12.10829144621598 3.3358074375874 3.2970588803947205 3.145955419926777 3.170212971478529
020 12.380243562643926 3.7972575259072827 3.689638469130826 3.3085625627071953 3.3352052211002263
030 12.609489783918994 4.749442182304596 4.397367863151102 3.604308039275889 3.6409927004787064
040 12.568927693073748 5.587295907395065 5.047054099301167 3.863255641584854 3.8814671052344103
050 12.558808931106796 6.655473941910332 5.911617332759716 4.331941253055225 4.286323310314867
060 13.084947365234028 7.682031550623704 6.7505388798194055 4.8851113513966755 4.736801649646455
070 14.113109323476207 8.504789577337323 7.602736482094007 5.529749074300027 5.080920437432382
080 15.150999649163655 9.412569108321055 8.44471942576781 6.535059589479797 5.576897166387981
090 21.781207923315595 10.735728001333978 9.450987915418407 8.07955387177375 6.288588390455533
100 43.66647548489007 13.09320188240882 10.923343857997084 11.606756848313083 6.958552965821992
110 96.9858470072671 19.252799258326032 13.594902254867185 19.09402613915686 7.769112108398766
120 NaN NaN NaN NaN NaN
130 NaN NaN NaN NaN NaN
140 NaN NaN NaN NaN NaN
150 NaN NaN NaN NaN NaN
